age,avg_monthly_gb_download,avg_monthly_long_distance_charges,churn_category,churn_reason,churn_score,city,cltv,contract,country,customer_id,customer_status,dependents,device_protection_plan,gender,internet_service,internet_type,lat_long,latitude,longitude,married,monthly_charge,multiple_lines,number_of_dependents,number_of_referrals,offer,online_backup,online_security,paperless_billing,partner,payment_method,phone_service,population,premium_tech_support,quarter,referred_a_friend,satisfaction_score,senior_citizen,state,streaming_movies,streaming_music,streaming_tv,tenure_in_months,total_charges,total_extra_data_charges,total_long_distance_charges,total_refunds,total_revenue,under_30,unlimited_data,zip_code,churn
78,29,11.59,Dissatisfaction,Product dissatisfaction,85,North Hollywood,5980,0,United States,0094-OIFMO,Churned,1,0,Female,1,Fiber Optic,0,34.207295,-118.400022,No,95.0,0,1,0,Offer D,1,0,Yes,0,Bank Withdrawal,Yes,57146,0,Q3,No,1,1,California,1,No,1,11,1120.3,120,127.49,0.0,1367.79,No,No,91605,1
65,29,29.11,Competitor,Competitor had better devices,86,Covina,4616,0,United States,9947-OTFQU,Churned,0,0,Male,1,Fiber Optic,0,34.097345,-117.906736,No,74.4,0,0,0,Offer D,1,0,Yes,0,Bank Withdrawal,Yes,33817,0,Q3,No,1,1,California,0,No,0,15,1074.3,0,436.65,0.0,1510.9499999999998,No,Yes,91722,1
77,12,0.0,Dissatisfaction,Limited range of services,65,El Monte,5828,0,United States,9514-JDSKI,Churned,0,0,Male,1,DSL,0,34.074492,-118.01462,Yes,40.2,0,0,1,Offer E,1,0,No,0,Bank Withdrawal,No,62660,0,Q3,Yes,2,1,California,0,No,1,1,40.2,0,0.0,0.0,40.2,No,Yes,91732,1
67,28,0.0,Price,Long distance charges,96,La Puente,2314,0,United States,7273-TEFQD,Churned,0,1,Male,1,DSL,0,34.038983,-117.991372,No,41.15,0,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,No,30802,0,Q3,No,2,1,California,1,Yes,0,3,132.2,0,0.0,0.0,132.2,No,Yes,91746,1
68,11,32.68,Competitor,Competitor had better devices,84,Rowland Heights,2494,0,United States,3606-TWKGI,Churned,0,1,Male,1,Cable,0,33.976753,-117.897367,No,106.9,1,0,0,Offer D,1,0,Yes,0,Bank Withdrawal,Yes,46342,0,Q3,No,1,1,California,1,No,1,13,1364.3,10,424.84,0.0,1799.14,No,No,91748,1
68,9,9.43,Competitor,Competitor had better devices,81,Ontario,3810,0,United States,4385-GZQXV,Churned,0,0,Female,1,Fiber Optic,0,34.074087,-117.605618,No,94.45,0,0,0,Offer D,0,0,Yes,0,Bank Withdrawal,Yes,49474,1,Q3,No,1,1,California,1,Yes,1,16,1511.2,0,150.88,0.0,1662.08,No,Yes,91764,1
66,7,1.78,Dissatisfaction,Poor expertise of online support,80,Alpine,4345,0,United States,3488-PGMQJ,Churned,0,0,Male,1,Fiber Optic,0,32.827184,-116.703729,No,74.5,0,0,0,Offer D,1,0,Yes,0,Bank Withdrawal,Yes,16486,0,Q3,No,2,1,California,0,No,0,8,606.55,0,14.24,0.0,620.79,No,Yes,91901,1
69,15,30.87,Competitor,Competitor made better offer,91,San Diego,2018,0,United States,7534-BFESC,Churned,0,0,Male,1,Fiber Optic,0,32.85723,-117.209774,No,76.1,1,0,0,Offer C,0,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,No,2,1,California,0,No,0,24,1712.7,0,740.88,0.0,2453.58,No,Yes,92122,1
74,2,31.61,Competitor,Competitor made better offer,85,San Diego,3677,0,United States,8098-LLAZX,Churned,0,0,Female,1,Fiber Optic,0,32.85723,-117.209774,No,95.45,1,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,No,3,1,California,1,No,1,4,396.1,0,126.44,0.0,522.54,No,Yes,92122,1
76,10,47.34,Attitude,Attitude of support person,69,San Diego,4105,0,United States,0265-EDXBD,Churned,0,0,Male,1,Fiber Optic,0,32.85723,-117.209774,Yes,74.9,1,0,2,Offer C,0,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,Yes,2,1,California,0,No,0,32,2303.35,0,1514.88,0.0,3818.23,No,Yes,92122,1
77,12,16.1,Competitor,Competitor made better offer,73,San Diego,2212,0,United States,2840-XANRC,Churned,0,1,Male,1,Cable,0,32.85723,-117.209774,Yes,93.15,0,0,1,Offer C,0,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,Yes,2,1,California,1,Yes,1,24,2231.05,0,386.4,0.0,2617.4500000000003,No,Yes,92122,1
70,5,12.08,Competitor,Competitor made better offer,83,San Diego,4149,0,United States,5020-ZSTTY,Churned,0,0,Female,1,DSL,0,32.85723,-117.209774,No,82.45,1,0,0,Offer B,1,1,No,0,Bank Withdrawal,Yes,34902,1,Q3,No,1,1,California,1,Yes,1,54,4350.1,0,652.32,0.0,5002.42,No,Yes,92122,1
74,10,13.17,Other,Don't know,73,San Diego,2671,0,United States,5804-LEPIM,Churned,0,0,Female,1,Fiber Optic,0,32.85723,-117.209774,No,70.35,0,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,No,3,1,California,0,No,0,2,139.05,0,26.34,0.0,165.39,No,Yes,92122,1
77,8,0.0,Competitor,Competitor made better offer,90,San Diego,4778,0,United States,0623-IIHUG,Churned,0,0,Female,1,Cable,0,32.85723,-117.209774,No,41.9,0,0,0,Offer E,0,1,Yes,0,Bank Withdrawal,No,34902,0,Q3,No,1,1,California,0,No,1,21,840.1,0,0.0,0.0,840.1,No,Yes,92122,1
71,13,0.0,Competitor,Competitor made better offer,91,San Diego,2927,0,United States,9057-MSWCO,Churned,0,0,Male,1,Cable,0,32.85723,-117.209774,Yes,30.75,0,0,0,Offer E,0,1,No,0,Credit Card,No,34902,0,Q3,No,1,1,California,0,No,0,27,805.1,140,0.0,0.0,945.1,No,No,92122,1
79,0,29.54,Competitor,Competitor made better offer,80,San Diego,5888,0,United States,4895-TMWIR,Churned,0,0,Male,0,Cable,0,32.85723,-117.209774,Yes,19.95,0,0,1,Offer E,0,0,No,0,Mailed Check,Yes,34902,0,Q3,Yes,1,1,California,0,No,0,11,214.75,0,324.94,0.0,539.69,No,No,92122,1
66,27,42.82,Competitor,Competitor made better offer,91,San Diego,5502,0,United States,0533-BNWKF,Churned,0,1,Female,1,Fiber Optic,0,32.85723,-117.209774,Yes,85.45,1,0,2,Offer B,1,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,Yes,1,1,California,0,No,0,55,4874.7,90,2355.1,0.0,7319.799999999999,No,No,92122,1
77,14,9.22,Competitor,Competitor made better offer,73,San Diego,2818,0,United States,0334-GDDSO,Churned,0,0,Male,1,Fiber Optic,0,32.85723,-117.209774,No,81.35,1,0,0,Offer E,1,0,Yes,0,Bank Withdrawal,Yes,34902,0,Q3,No,1,1,California,0,No,0,3,233.7,0,27.660000000000004,0.0,261.36,No,Yes,92122,1
80,17,35.09,Dissatisfaction,Network reliability,67,Thermal,4902,0,United States,5564-NEMQO,Churned,0,1,Female,1,Fiber Optic,0,33.53604,-116.119222,No,75.3,0,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,17018,0,Q3,No,2,1,California,0,No,0,1,75.3,20,35.09,0.0,130.39,No,No,92274,1
77,26,0.0,Dissatisfaction,Limited range of services,89,Riverside,4099,0,United States,6235-VDHOM,Churned,0,0,Female,1,DSL,0,34.004379,-117.447864,No,28.45,0,0,0,Offer E,1,0,No,0,Bank Withdrawal,No,63999,0,Q3,No,2,1,California,0,No,0,5,131.05,0,0.0,0.0,131.05,No,Yes,92509,1
77,12,48.73,Competitor,Competitor had better devices,87,Hemet,2666,0,United States,5609-CEBID,Churned,0,1,Female,1,Fiber Optic,0,33.644585,-116.871544,No,94.1,1,0,0,Offer E,1,0,Yes,0,Bank Withdrawal,Yes,39264,0,Q3,No,1,1,California,1,No,0,20,1782.4,80,974.6,0.0,2837.0,No,No,92544,1
72,22,45.76,Dissatisfaction,Product dissatisfaction,82,Moreno Valley,5273,0,United States,5956-VKDTT,Churned,0,0,Female,1,Fiber Optic,0,33.970661,-117.255039,Yes,74.35,1,0,4,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,46214,0,Q3,Yes,1,1,California,0,No,0,5,334.8,0,228.8,0.0,563.6,No,Yes,92557,1
80,25,7.02,Attitude,Attitude of support person,91,Perris,4517,0,United States,0257-ZESQC,Churned,0,0,Female,1,Cable,0,33.828289,-117.201666,Yes,75.2,0,0,2,Offer E,0,1,Yes,0,Bank Withdrawal,Yes,26357,0,Q3,Yes,1,1,California,0,No,0,27,1929.35,0,189.54,0.0,2118.89,No,Yes,92571,1
74,24,48.35,Competitor,Competitor had better devices,74,Anaheim,5808,0,United States,2865-TCHJW,Churned,0,1,Female,1,Cable,0,33.848733,-117.788357,No,89.2,1,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,36301,0,Q3,No,1,1,California,0,No,1,4,346.2,0,193.4,0.0,539.6,No,Yes,92807,1
68,21,45.81,Competitor,Competitor had better devices,66,Brea,4880,0,United States,5192-EBGOV,Churned,0,0,Female,1,Fiber Optic,0,33.924143,-117.79387,No,85.7,1,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,1408,0,Q3,No,1,1,California,0,No,1,1,85.7,0,45.81,0.0,131.51,No,Yes,92823,1
78,28,18.39,Attitude,Attitude of support person,91,Yorba Linda,4196,0,United States,3419-SNJJD,Churned,0,1,Female,1,Fiber Optic,0,33.884073,-117.732197,Yes,105.25,1,0,3,Offer B,0,1,No,0,Bank Withdrawal,Yes,20893,0,Q3,Yes,1,1,California,1,No,1,65,6786.4,0,1195.35,0.0,7981.75,No,Yes,92887,1
75,14,22.92,Competitor,Competitor made better offer,96,Summerland,5059,0,United States,4554-YGZIH,Churned,0,0,Male,1,Fiber Optic,0,34.420998,-119.60137,Yes,90.05,1,0,3,Offer B,1,0,No,0,Credit Card,Yes,576,0,Q3,Yes,2,1,California,1,No,0,49,4547.25,0,1123.0800000000002,0.0,5670.33,No,Yes,93067,1
77,5,14.52,Competitor,Competitor made better offer,65,Santa Barbara,2728,0,United States,5099-BAILX,Churned,0,1,Male,1,Fiber Optic,0,34.419203,-119.710008,Yes,110.75,1,0,1,Offer B,1,0,Yes,0,Bank Withdrawal,Yes,31727,1,Q3,Yes,2,1,California,1,No,1,43,4687.9,0,624.36,0.0,5312.259999999999,No,Yes,93101,1
80,12,48.8,Competitor,Competitor offered higher download speeds,91,Alpaugh,6268,0,United States,4913-EHYUI,Churned,0,1,Male,1,Fiber Optic,0,35.869626,-119.498771,Yes,104.55,1,0,0,Offer B,0,1,Yes,0,Bank Withdrawal,Yes,1054,0,Q3,No,1,1,California,1,No,1,56,5794.65,0,2732.8,0.0,8527.449999999999,No,Yes,93201,1
75,10,5.31,Competitor,Competitor had better devices,84,Camp Nelson,5604,0,United States,1626-ERCMM,Churned,0,0,Male,1,Fiber Optic,0,36.057458,-118.591951,Yes,94.55,1,0,7,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,191,0,Q3,Yes,1,1,California,1,Yes,1,20,1899.65,0,106.2,0.0,2005.85,No,Yes,93208,1
69,19,47.47,Attitude,Attitude of support person,80,Delano,2065,0,United States,5644-PDMZC,Churned,0,0,Female,1,Fiber Optic,0,35.772244,-119.209689,No,89.5,1,0,0,Offer B,1,0,No,0,Bank Withdrawal,Yes,37280,0,Q3,No,2,1,California,1,Yes,0,2,161.5,0,94.94,0.0,256.44,No,Yes,93215,1
74,0,27.95,Attitude,Attitude of support person,83,Fellows,5432,0,United States,4160-AMJTL,Churned,0,0,Female,0,Fiber Optic,0,35.215731,-119.57013,No,19.65,0,0,0,Offer B,0,0,No,0,Bank Withdrawal,Yes,626,0,Q3,No,2,1,California,0,No,0,8,164.3,0,223.6,0.0,387.9,No,No,93224,1
76,18,0.0,Competitor,Competitor made better offer,90,Temecula,5597,0,United States,0823-HSCDJ,Churned,0,0,Male,1,DSL,0,33.507255,-117.029473,No,49.15,0,0,0,Offer B,1,0,Yes,0,Bank Withdrawal,No,46171,0,Q3,No,2,1,California,1,Yes,1,52,2550.9,30,0.0,0.0,2580.9,No,No,92592,1
69,27,43.99,Competitor,Competitor made better offer,95,San Diego,3475,0,United States,0067-DKWBL,Churned,0,0,Male,1,DSL,0,32.961064,-117.134917,No,49.25,0,0,0,Offer B,0,1,Yes,0,Bank Withdrawal,Yes,47224,0,Q3,No,2,1,California,0,No,0,2,91.1,0,87.98,0.0,179.07999999999998,No,Yes,92129,1
72,8,27.78,Other,Poor expertise of online support,91,San Diego,4333,0,United States,5244-IRFIH,Churned,0,0,Male,1,Fiber Optic,0,32.961064,-117.134917,Yes,94.5,1,0,1,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,47224,0,Q3,Yes,3,1,California,1,No,1,33,3105.55,0,916.74,0.0,4022.29,No,Yes,92129,1
69,19,45.88,Competitor,Competitor made better offer,90,San Diego,2482,0,United States,2684-EIWEO,Churned,0,1,Female,1,Fiber Optic,0,32.961064,-117.134917,No,91.7,1,0,0,Offer B,1,1,No,0,Credit Card,Yes,47224,0,Q3,No,1,1,California,0,No,0,30,2758.15,0,1376.4,0.0,4134.55,No,Yes,92129,1
73,13,44.44,Competitor,Competitor made better offer,92,San Diego,5444,0,United States,6683-VLCTZ,Churned,0,1,Male,1,Fiber Optic,0,32.961064,-117.134917,No,98.55,1,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,47224,0,Q3,No,3,1,California,1,No,1,20,1842.8,120,888.8,0.0,2851.6,No,No,92129,1
65,20,2.37,Competitor,Competitor made better offer,81,Biola,2403,0,United States,0691-IFBQW,Churned,0,1,Female,1,Fiber Optic,0,36.798882,-120.019511,No,110.0,1,0,0,Offer B,1,1,Yes,0,Bank Withdrawal,Yes,807,0,Q3,No,1,1,California,1,Yes,1,46,4874.8,0,109.02,0.0,4983.820000000001,No,Yes,93606,1
74,11,21.91,Competitor,Competitor made better offer,83,Selma,3265,0,United States,3643-AHCFP,Churned,0,0,Male,1,Cable,0,36.545322,-119.642281,Yes,95.6,1,0,1,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,26213,0,Q3,Yes,3,1,California,1,No,1,7,644.35,0,153.37,0.0,797.72,No,Yes,93662,1
65,18,36.93,Other,Moved,72,Squaw Valley,5301,0,United States,9231-ZJYAM,Churned,0,0,Female,1,Fiber Optic,0,36.719141,-119.202677,No,78.85,0,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,3146,0,Q3,No,3,1,California,0,No,1,4,292.8,0,147.72,0.0,440.52,No,Yes,93675,1
66,7,37.38,Competitor,Competitor offered higher download speeds,83,Fresno,5679,0,United States,0727-BMPLR,Churned,0,1,Female,1,Fiber Optic,0,36.654614,-119.903674,No,100.0,1,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,35790,0,Q3,No,3,1,California,1,Yes,1,55,5509.3,100,2055.9,0.0,7665.200000000001,No,No,93706,1
71,24,5.37,Competitor,Competitor had better devices,95,Jolon,5849,0,United States,0947-MUGVO,Churned,0,0,Male,1,Fiber Optic,0,35.930782,-121.189757,Yes,73.65,0,0,1,Offer B,1,0,Yes,0,Bank Withdrawal,Yes,254,0,Q3,Yes,1,1,California,0,No,0,20,1463.5,0,107.4,0.0,1570.9,No,Yes,93928,1
65,15,48.71,Competitor,Competitor had better devices,70,San Francisco,4038,0,United States,0781-LKXBR,Churned,0,1,Male,1,Fiber Optic,0,37.7795,-122.419233,No,100.5,1,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,28998,0,Q3,No,1,1,California,1,Yes,1,9,918.6,0,438.39,0.0,1356.99,No,Yes,94102,1
69,24,5.46,Competitor,Competitor had better devices,91,San Francisco,3189,0,United States,1907-UBQFC,Churned,0,0,Male,1,Fiber Optic,0,37.791998,-122.408653,No,72.85,0,0,0,Offer B,1,0,Yes,0,Bank Withdrawal,Yes,13723,0,Q3,No,1,1,California,0,No,0,10,688.65,30,54.6,0.0,773.25,No,No,94108,1
75,6,36.92,Price,Price too high,94,San Francisco,4369,0,United States,6513-EECDB,Churned,0,0,Male,1,Fiber Optic,0,37.758085,-122.434801,Yes,73.55,1,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,30587,0,Q3,No,2,1,California,0,No,0,1,73.55,0,36.92,0.0,110.47,No,Yes,94114,1
75,11,41.9,Dissatisfaction,Product dissatisfaction,91,San Francisco,3501,0,United States,7074-IEVOJ,Churned,0,0,Female,1,Fiber Optic,0,37.820894,-122.369725,No,79.4,1,0,0,Offer B,1,0,Yes,0,Bank Withdrawal,Yes,1458,0,Q3,No,1,1,California,0,No,0,3,205.05,0,125.7,0.0,330.75,No,Yes,94130,1
68,17,6.68,Competitor,Competitor had better devices,83,Palo Alto,2467,0,United States,4750-ZRXIU,Churned,0,0,Female,1,Cable,0,37.386978,-122.177746,No,84.6,1,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,1723,0,Q3,No,1,1,California,1,No,0,4,360.1,0,26.72,0.0,386.8200000000001,No,Yes,94304,1
71,19,20.83,Other,Don't know,82,Birds Landing,2074,0,United States,7028-DVOIQ,Churned,0,1,Male,1,Fiber Optic,0,38.140719,-121.838298,No,99.05,1,0,0,Offer B,0,0,Yes,0,Bank Withdrawal,Yes,138,0,Q3,No,1,1,California,1,No,1,35,3395.8,120,729.05,0.0,4244.85,No,No,94512,1
80,11,26.62,Other,Don't know,84,Byron,5900,0,United States,4208-UFFGW,Churned,0,0,Male,1,DSL,0,37.83323,-121.601461,No,44.95,0,0,0,Offer E,0,0,No,0,Credit Card,Yes,10153,0,Q3,No,2,1,California,0,No,0,2,85.15,0,53.24,0.0,138.39,No,Yes,94514,1
66,27,11.57,Competitor,Competitor had better devices,74,Fremont,5084,0,United States,9889-TMAHG,Churned,0,0,Male,1,Fiber Optic,0,37.516791,-121.899117,No,100.3,0,0,0,Offer E,0,1,No,0,Credit Card,Yes,46917,1,Q3,No,1,1,California,1,Yes,1,8,832.35,0,92.56,0.0,924.91,No,Yes,94539,1
73,28,0.0,Competitor,Competitor had better devices,96,Livermore,4829,0,United States,8919-FYFQZ,Churned,0,0,Male,1,Cable,0,37.571748,-121.659562,Yes,30.35,0,0,2,Offer E,1,0,Yes,0,Bank Withdrawal,No,75929,0,Q3,Yes,1,1,California,0,No,0,44,1359.7,0,0.0,0.0,1359.7,No,Yes,94550,1
77,16,7.11,Competitor,Competitor had better devices,91,Napa,5052,0,United States,6646-QVXLR,Churned,0,1,Male,1,Fiber Optic,0,38.489789,-122.27011,Yes,103.75,1,0,1,Offer E,1,0,Yes,0,Bank Withdrawal,Yes,63947,0,Q3,Yes,1,1,California,1,Yes,1,62,6383.35,0,440.82,0.0,6824.17,No,Yes,94558,1
76,15,33.19,Competitor,Competitor offered more data,72,Pleasanton,3601,0,United States,9369-XFEHK,Churned,0,0,Female,1,Cable,0,37.633361,-121.862395,Yes,80.6,1,0,1,Offer E,1,0,Yes,0,Bank Withdrawal,Yes,36669,0,Q3,Yes,2,1,California,0,No,0,33,2656.5,0,1095.27,0.0,3751.77,No,Yes,94566,1
65,23,49.5,Competitor,Competitor made better offer,91,San Ramon,5419,0,United States,1374-DMZUI,Churned,0,0,Female,1,Fiber Optic,0,37.766556,-121.976784,No,94.3,1,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,44078,0,Q3,No,2,1,California,1,Yes,1,4,424.45,0,198.0,0.0,622.45,No,Yes,94583,1
75,23,10.6,Competitor,Competitor had better devices,65,Pleasanton,2377,0,United States,1989-PRJHP,Churned,0,0,Male,1,Fiber Optic,0,37.685052,-121.912061,Yes,75.5,1,0,1,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,28568,0,Q3,Yes,1,1,California,0,No,0,27,1893.95,0,286.2,0.0,2180.15,No,Yes,94588,1
75,29,40.45,Attitude,Attitude of support person,90,Berkeley,5906,0,United States,4822-RVYBB,Churned,0,1,Male,1,Fiber Optic,0,37.871416,-122.246597,No,100.6,1,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,21205,0,Q3,No,1,1,California,1,No,1,8,819.4,0,323.6,0.0,1143.0,No,Yes,94704,1
68,2,25.77,Attitude,Attitude of support person,68,Berkeley,4486,0,United States,4184-TJFAN,Churned,0,0,Female,1,Fiber Optic,0,37.897753,-122.279391,Yes,88.3,0,0,1,Offer E,0,1,Yes,0,Mailed Check,Yes,11889,1,Q3,Yes,1,1,California,0,No,1,3,273.75,0,77.31,0.0,351.06,No,Yes,94707,1
71,9,42.93,Competitor,Competitor had better devices,81,Berkeley,5662,0,United States,4145-UQXUQ,Churned,0,1,Female,1,Fiber Optic,0,37.872902,-122.303708,No,92.1,0,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,8157,0,Q3,No,1,1,California,1,No,1,8,729.95,0,343.44,0.0,1073.39,No,Yes,94710,1
74,24,11.31,Competitor,Competitor offered more data,96,Greenbrae,4777,0,United States,1236-WFCDV,Churned,0,0,Male,1,Fiber Optic,0,37.946617,-122.563571,No,90.45,0,0,0,Offer E,0,0,No,0,Credit Card,Yes,12010,0,Q3,No,3,1,California,1,No,1,14,1266.1,0,158.34,0.0,1424.4399999999998,No,Yes,94904,1
77,10,0.0,Competitor,Competitor had better devices,74,Forest Knolls,2437,0,United States,1271-SJBGZ,Churned,0,1,Male,1,DSL,0,38.010092,-122.689442,No,43.65,0,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,No,1025,1,Q3,No,1,1,California,1,No,0,12,526.95,0,0.0,0.0,526.95,No,Yes,94933,1
73,21,40.37,Competitor,Competitor had better devices,90,Freedom,2995,0,United States,4441-NIHPT,Churned,0,1,Female,1,Fiber Optic,0,36.936228,-121.785559,No,74.3,0,0,0,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,4753,0,Q3,No,1,1,California,0,No,0,13,940.35,0,524.81,0.0,1465.16,No,Yes,95019,1
68,27,3.96,Attitude,Attitude of support person,89,Gilroy,2202,0,United States,8999-BOHSE,Churned,0,0,Female,1,Fiber Optic,0,37.03889,-121.528955,No,89.7,0,0,0,Offer E,0,0,No,0,Bank Withdrawal,Yes,49968,0,Q3,No,2,1,California,1,No,1,11,1047.7,0,43.56,0.0,1091.26,No,Yes,95020,1
74,16,28.18,Competitor,Competitor offered more data,87,Los Gatos,5508,0,United States,7029-RPUAV,Churned,0,1,Male,1,Cable,0,37.222842,-121.988727,Yes,100.45,1,0,1,Offer E,0,0,Yes,0,Credit Card,Yes,13290,0,Q3,Yes,3,1,California,1,No,1,17,1622.45,0,479.06,0.0,2101.51,No,Yes,95030,1
65,26,33.25,Attitude,Attitude of support person,96,San Jose,4687,0,United States,8111-SLLHI,Churned,0,1,Male,1,Fiber Optic,0,37.316146,-121.936285,Yes,105.65,1,0,1,Offer E,1,0,Yes,0,Bank Withdrawal,Yes,32804,0,Q3,Yes,3,1,California,1,Yes,1,39,4284.8,0,1296.75,0.0,5581.55,No,Yes,95128,1
73,27,17.25,Competitor,Competitor offered more data,82,San Jose,4553,0,United States,5293-WXJAK,Churned,0,1,Female,1,Fiber Optic,0,37.28682,-121.723877,Yes,104.05,1,0,5,Offer E,0,0,Yes,0,Bank Withdrawal,Yes,15798,1,Q3,Yes,3,1,California,1,No,1,11,1133.65,0,189.75,0.0,1323.4,No,Yes,95135,1
