customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0073,Female,0,Yes,Yes,47,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,89.05,4185.35,No
CUST0074,Male,1,No,Yes,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,60.47,4293.37,No
CUST0075,Female,1,Yes,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.72,851.84,No
CUST0076,Female,1,No,No,39,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,51.05,1990.95,No
CUST0077,Female,0,No,No,58,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,72.99,4233.42,Yes
CUST0078,Male,1,Yes,Yes,30,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card,85.69,2570.7,No
CUST0079,Female,1,Yes,No,18,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,89.15,1604.7,No
CUST0080,Male,0,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,64.73,1165.14,No
CUST0081,Female,0,No,Yes,39,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer,57.4,2238.6,Yes
CUST0082,Male,1,Yes,No,26,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.83,2517.58,Yes
CUST0083,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer,112.54,7990.34,Yes
CUST0084,Male,0,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,111.45,780.15,Yes
CUST0085,Male,0,No,No,69,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,75.16,5186.04,No
CUST0086,Female,0,Yes,No,65,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,27.9,1813.5,Yes
CUST0087,Male,1,Yes,No,46,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,27.33,1257.18,No
CUST0088,Female,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,60.28,1085.04,Yes
CUST0089,Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,93.29,1212.77,No
CUST0090,Female,0,No,No,25,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,69.73,1743.25,Yes
CUST0091,Female,1,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Bank transfer,82.74,661.92,Yes
CUST0092,Female,0,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,104.33,3338.56,Yes
CUST0093,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,24.03,408.51,Yes
CUST0094,Female,0,Yes,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,112.38,5394.24,Yes
CUST0095,Female,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,53.09,3344.67,Yes
CUST0096,Female,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,24.68,987.2,No
CUST0097,Female,1,Yes,Yes,15,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,103.54,1553.1,Yes
CUST0098,Female,1,No,Yes,6,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer,113.42,680.52,No
CUST0099,Male,1,No,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.86,6102.18,Yes
CUST0100,Male,0,Yes,Yes,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,100.45,803.6,No
CUST0101,Female,1,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,107.13,3428.16,No
CUST0102,Female,1,No,Yes,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,72.24,3250.8,Yes
CUST0103,Female,1,Yes,No,52,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,88.05,4578.6,No
CUST0104,Female,0,Yes,Yes,13,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card,48.65,632.45,No
CUST0105,Female,0,No,No,24,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,44.97,1079.28,No
CUST0106,Female,1,No,Yes,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,80.89,3235.6,No
CUST0107,Female,1,No,Yes,14,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.46,1308.44,Yes
CUST0108,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,59.71,4179.7,No
CUST0109,Male,0,No,No,62,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,60.03,3721.86,No
CUST0110,Female,1,No,Yes,61,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,115.42,7040.62,Yes
CUST0111,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,71.85,71.85,No
CUST0112,Female,1,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,118.63,7829.58,Yes
CUST0113,Female,0,No,Yes,32,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card,106.28,3400.96,Yes
CUST0114,Male,1,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,83.97,1091.61,Yes
CUST0115,Female,1,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,20.91,690.03,Yes
CUST0116,Male,0,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,49.59,1586.88,Yes
CUST0117,Female,1,No,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,61.76,3458.56,No
CUST0118,Female,1,No,Yes,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,85.28,2046.72,No
CUST0119,Male,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,59.55,238.2,No
CUST0120,Female,0,No,Yes,23,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,102.78,2363.94,No
CUST0121,Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,86.29,2502.41,Yes
CUST0122,Female,0,No,No,21,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Electronic check,54.72,1149.12,No
CUST0123,Male,1,Yes,Yes,30,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,98.44,2953.2,No
CUST0124,Male,0,Yes,Yes,20,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card,50.31,1006.2,Yes
CUST0125,Female,1,No,Yes,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,26.28,420.48,Yes
CUST0126,Female,1,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card,37.26,2496.42,Yes
CUST0127,Male,0,Yes,Yes,49,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer,20.27,993.23,No
CUST0128,Female,0,No,No,58,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer,103.24,5987.92,Yes
CUST0129,Female,1,No,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,82.71,3639.24,No
CUST0130,Female,1,No,No,25,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,77.06,1926.5,No
CUST0131,Male,0,Yes,No,23,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,86.2,1982.6,Yes
CUST0132,Male,0,No,No,59,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,85.36,5036.24,No
CUST0133,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,76.55,76.55,No
CUST0134,Male,1,Yes,No,15,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,104.24,1563.6,No
CUST0135,Male,1,No,Yes,52,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,64.09,3332.68,No
CUST0136,Male,1,No,Yes,58,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,100.48,5827.84,No
CUST0137,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,98.66,4045.06,Yes
CUST0138,Male,1,Yes,No,44,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer,39.95,1757.8,No
CUST0139,Male,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,65.38,261.52,No
CUST0140,Female,0,No,No,68,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,103.49,7037.32,No
CUST0141,Male,1,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,103.09,721.63,Yes
CUST0142,Female,1,Yes,No,46,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,22.4,1030.4,No
CUST0143,Female,0,No,Yes,9,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,42.31,380.79,Yes
CUST0144,Female,0,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,62.39,2058.87,Yes
CUST0145,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card,24.72,815.76,No
CUST0146,Male,0,Yes,No,4,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,46.06,184.24,Yes
CUST0147,Male,1,No,No,65,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,45.83,2978.95,Yes
CUST0148,Male,0,Yes,Yes,34,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,41.46,1409.64,Yes
CUST0149,Female,1,Yes,No,64,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,59.67,3818.88,Yes
CUST0150,Male,0,Yes,Yes,25,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,101.3,2532.5,No
CUST0151,Male,0,No,Yes,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,44.41,2442.55,Yes
CUST0152,Male,0,No,Yes,9,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Credit card,78.21,703.89,Yes
CUST0153,Male,1,No,No,17,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,75.76,1287.92,No
CUST0154,Male,1,Yes,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,101.79,2137.59,Yes
CUST0155,Female,0,No,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,59.4,3564.0,Yes
CUST0156,Male,1,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,42.36,550.68,Yes
CUST0157,Female,1,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,109.15,327.45,Yes
CUST0158,Male,0,Yes,Yes,68,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,103.29,7023.72,Yes
CUST0159,Female,0,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,82.15,328.6,No
CUST0160,Male,1,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,29.32,205.24,No
CUST0161,Male,1,Yes,No,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,21.61,561.86,Yes
CUST0162,Female,1,No,Yes,24,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,38.26,918.24,Yes
CUST0163,Female,0,Yes,No,10,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.66,396.6,No
CUST0164,Female,0,No,Yes,13,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card,33.62,437.06,No
CUST0165,Male,1,Yes,No,44,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer,46.22,2033.68,Yes
CUST0166,Female,0,No,No,39,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card,53.79,2097.81,No
CUST0167,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,95.44,1813.36,No
CUST0168,Male,1,No,Yes,51,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer,90.95,4638.45,No
CUST0169,Female,1,No,No,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer,30.44,578.36,Yes
CUST0170,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Mailed check,117.71,6120.92,Yes
CUST0171,Male,0,Yes,No,47,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,95.21,4474.87,Yes
CUST0172,Male,1,Yes,No,30,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,36.34,1090.2,No
CUST0173,Female,0,Yes,Yes,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,32.45,1492.7,Yes
CUST0174,Female,0,No,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.75,603.75,No
CUST0175,Female,1,No,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,93.18,4472.64,Yes
CUST0176,Male,1,No,Yes,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.63,2705.06,Yes
